iLat,psi
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
1,  0.0000000000000000E+00
